oligo_002561	NegativeControl	NegControl
oligo_002578	NegativeControl	NegControl
oligo_002601	NegativeControl	NegControl
oligo_002586	NegativeControl	NegControl
oligo_002542	NegativeControl	NegControl
oligo_002548	NegativeControl	NegControl
oligo_002503	NegativeControl	NegControl
oligo_002545	NegativeControl	NegControl
oligo_002552	NegativeControl	NegControl
oligo_002589:oligo_002590	NegativeControl	NegControl
oligo_002569	NegativeControl	NegControl
oligo_002583	NegativeControl	NegControl
oligo_002508	NegativeControl	NegControl
oligo_002546	NegativeControl	NegControl
oligo_002519	NegativeControl	NegControl
oligo_002576	NegativeControl	NegControl
oligo_002562	NegativeControl	NegControl
oligo_002514	NegativeControl	NegControl
oligo_002504	NegativeControl	NegControl
oligo_002593	NegativeControl	NegControl
oligo_002600	NegativeControl	NegControl
oligo_002535	NegativeControl	NegControl
oligo_002505	NegativeControl	NegControl
oligo_002558	NegativeControl	NegControl
oligo_002587	NegativeControl	NegControl
oligo_002526	NegativeControl	NegControl
oligo_002584	NegativeControl	NegControl
oligo_002564	NegativeControl	NegControl
oligo_002512	NegativeControl	NegControl
oligo_002596	NegativeControl	NegControl
oligo_002568	NegativeControl	NegControl
oligo_002536	NegativeControl	NegControl
oligo_002515	NegativeControl	NegControl
oligo_002554	NegativeControl	NegControl
oligo_002556	NegativeControl	NegControl
oligo_002597	NegativeControl	NegControl
oligo_002560	NegativeControl	NegControl
oligo_002538	NegativeControl	NegControl
oligo_002534	NegativeControl	NegControl
oligo_002529	NegativeControl	NegControl
oligo_002511	NegativeControl	NegControl
oligo_002570	NegativeControl	NegControl
oligo_002528	NegativeControl	NegControl
oligo_002557	NegativeControl	NegControl
oligo_002509	NegativeControl	NegControl
oligo_002525	NegativeControl	NegControl
oligo_002592	NegativeControl	NegControl
oligo_002544	NegativeControl	NegControl
oligo_002606	NegativeControl	NegControl
oligo_002551	NegativeControl	NegControl
oligo_002549	NegativeControl	NegControl
oligo_002500	NegativeControl	NegControl
oligo_002537	NegativeControl	NegControl
oligo_002531	NegativeControl	NegControl
oligo_002541	NegativeControl	NegControl
oligo_002580	NegativeControl	NegControl
